PooledFundId,PooledFundName,PooledFundCodeAbbrv,ContributionCode,FiscalYear,DonorName,DonorCode,GMSDonorID,GMSDonorName,CountryCode,PledgeDate,PledgeAmt,PipeLineDate,PaidDate, PaidAmt ,ExpectedDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate, PledgeAmtLocal , PaidAmtLocal 
23,Afghanistan,AFG23,CHF/000204/HAF10/5-2019/5810,2019,Government of Republic of Korea,14,63,Republic of Korea,KR,06-05-19,1000000,01-01-01,28-05-19,"1,000,000.00",01-01-01,USD ,1,USD ,1,"1,000,000","1,000,000"
23,Afghanistan,AFG23,CHF/000055/HAF10/12-2018/5519,2019,Government of Australia,2,3,Australia,AU,17-12-18,3749330.05,01-01-01,11-01-19,"3,593,985.62",01-01-01,AUD ,1.37,AUD ,1.42,"5,117,836","5,117,836"
23,Afghanistan,AFG23,CHF/000117/HAF10/11-2019/6259,2019,Government of Germany,7,11,Germany,DE,19-11-19,1112949.3,01-01-01,02-12-19,"1,101,930.00",01-01-01,EUR ,0.9,EUR ,0.91,"1,001,654","1,001,654"
23,Afghanistan,AFG23,CHF/000117/HAF10/4-2019/5780,2019,Government of Germany,7,11,Germany,DE,09-04-19,1120158.56,01-01-01,24-04-19,"1,125,210.00",01-01-01,EUR ,0.89,EUR ,0.89,"998,061","998,061"
23,Afghanistan,AFG23,CHF/000117/HAF10/12-2019/6258,2019,Government of Germany,7,11,Germany,DE,02-12-19,995606.09,01-01-01,10-12-19,"995,606.10",01-01-01,EUR ,0.91,EUR ,0.91,"905,006","905,006"
23,Afghanistan,AFG23,CHF/000095/HAF10/10-2019/6120,2019,Government of Denmark,5,8,Denmark,DK,24-10-19,5147550.74,01-01-01,01-11-19,"5,224,094.24",01-01-01,DKK ,6.83,DKK ,6.73,"35,132,034","35,132,034"
23,Afghanistan,AFG23,CHF/000078/HAF10/12-2019/5882,2019,Government of Canada,119,7,Canada,CA,13-06-19,381133,01-01-01,27-06-19,"381,133.00",01-01-01,CAD ,1.35,CAD ,1.35,"514,148","514,148"
23,Afghanistan,AFG23,CHF/000078/HAF10/5-2020/6762,2020,Government of Canada,119,7,Canada,CA,11-05-20,1150391.68,01-01-01,01-06-20,"1,162,914.09",01-01-01,CAD ,1.39,CAD ,1.38,"1,602,496","1,602,496"
23,Afghanistan,AFG23,CHF/000078/HAF10/6-2020/6794,2020,Government of Canada,119,7,Canada,CA,01-06-20,1580174.84,01-01-01,01-06-20,"1,580,174.84",01-01-01,CAD ,1.38,CAD ,1.38,"2,177,481","2,177,481"
23,Afghanistan,AFG23,CHF/000117/HAF10/5-2020/6698,2020,Government of Germany,7,11,Germany,DE,06-05-20,2166776,01-01-01,14-05-20,"2,166,776.00",01-01-01,EUR ,0.92,EUR ,0.92,"1,995,601","1,995,601"
